CNAVOI,Signification
AER,Aérodrome
AERG,Aérogare
AGL,Agglomération
AIRE,Aire
ALL,Allée
ACH,Ancien chemin
ART,Ancienne route
ANGL,Angle
ARC,Arcade
AUT,Autoroute
AV,Avenue
BRE,Barrière
BASE,Base
BSN,Bassin
BER,Berge
BORD,Bord
BD,Boulevard
BRG,Bourg
BRTL,Bretelle
CALL,"Calle, callada"
CAMI,Camin
CAMP,Camp
CPG,Camping
CAN,Canal
CAR,Carrefour
CAE,Carriera
CARE,Carrière
CASR,Caserne
CTRE,Centre
CHL,Chalet
CHP,Champ
CHA,Chasse
CHT,Château
CHS,Chaussée
CHE,Chemin
CHEM,Cheminement
CC,Chemin communal
CD,Chemin départemental
CR,Chemin rural
CF,Chemin forestier
CHV,Chemin vicinal
CITE,Cité
CLOS,Clos
COIN,Coin,
COL,Col,
CTR,Contour,
COR,Corniche,
CORO,Coron,
COTE,Côte,
CLR,Couloir,
COUR,Cour,
CRS,Cours,
CIVE,Coursive,
CRX,Croix,
DARS,"Darse, darce",
DSC,Descente,
DEVI,Déviation,
DIG,Digue,
DOM,Domaine,
DRA,Draille,
ECA,Écart,
ECL,Écluse,
EMBR,Embranchement,
EMP,Emplacement,
ENV,Enclave,
ENC,Enclos,
ESC,Escalier,
ESPA,Espace,
ESP,Esplanade,
ETNG,Étang,
FG,Faubourg,
FRM,Ferme,
FD,Fond,
FON,Fontaine,
FOR,Forêt,
FORT,Fort,
FOS,Fosse,
GAL,Galerie,
GARE,Gare,
GBD,Grand boulevard,
GPL,Grande place,
GR,Grande rue,
GREV,Grève,
HAB,Habitation,
HLG,Halage,
HLE,Halle,
HAM,Hameau,
HTR,Hauteur,
HIP,Hippodrome,
HLM,HLM,
ILE,Île,
ILOT,Îlot,
IMP,Impasse,
JARD,Jardin,
JTE,Jetée,
LAC,Lac,
LEVE,Levée,
LICE,Lices,
LIGN,Ligne,
LOT,Lotissement,
MAIL,Mail,
MAIS,Maison,
MAR,Marche,
MARE,Mare,
MRN,Marina,
MAS,Mas,
MTE,Montée,
MNE,Morne,
NTE,Nouvelle route,
PARC,Parc,
PKG,Parking,
PRV,Parvis,
PAS,Passage,
PASS,Passe,
PLE,Passerelle,
PCH,Petit chemin,
PTA,Petite allée,
PAE,Petite avenue,
PRT,Petite route,
PTR,Petite rue,
PHAR,Phare,
PIST,Piste,
PLA,Placa,
PL,Place,
PTTE,Placette,
PLCI,Placis,
PLAG,Plage,
PLN,Plaine,
PLAN,Plan,
PLT,Plateau,
PNT,Pointe,
PONT,Pont,
PCHE,Porche,
PORT,Port,
PTE,Porte,
PORQ,Portique,
POST,Poste,
POT,Poterne,
PROM,Promenade
QUAI,Quai
QUA,Quartier
RAC,Raccourci
RPE,Rampe
RVE,Ravine
REM,Rempart
RES,Résidence
RIVE,Rive
ROC,Rocade
RPT,Rond-point
RTD,Rotonde
RTE,Route
RUE,Rue
RLE,Ruelle
RULT,Ruellette
RUET,Ruette
RUIS,Ruisseau
SAS,Sas
SEN,"Sentier, sente"
SQ,Square
STDE,Stade
TRN,Terrain
TSSE,Terrasse
TER,Terre
TPL,Terre-plein
TRT,Tertre
TOUR,Tour
TRAB,Traboule
TRA,Traverse
TUN,Tunnel
VAL,Val
VALL,"Vallon, vallée"
VEN,Venelle
VIA,Via
VIAD,Viaduc
VTE,Vieille route
VCHE,Vieux chemin
VLA,Villa
VGE,Village
VIL,Ville
VOIE,Voie
VC,Voie communale
VOIR,Voirie
VOUT,Voûte
VOY,Voyeul
ZA,ZA
ZAC,ZAC
ZAD,ZAD
ZI,ZI
ZONE,Zone
ZUP,ZUP
